283,173
301,171
320,170
339,174
359,179
378,186
396,197
414,208
421,226
421,250
414,279
402,307
387,331
365,347
339,356
312,361
284,365
254,174
248,181
248,189
250,199
256,207
255,244
250,261
249,278
255,295
263,310
276,223
291,219
306,215
321,210
330,207
334,211
337,218
334,227
332,236
277,186
271,193
272,204
280,212
281,202
280,192
281,258
274,266
274,278
281,289
283,278
283,267
353,197
349,202
349,212
351,222
350,233
352,253
357,275
373,255
379,235
379,222
377,212
370,203
356,202
357,212
359,222
358,234
358,269
369,234
369,222
367,213
