281,181
301,179
322,180
343,182
364,187
382,196
399,211
415,227
421,248
420,272
412,299
399,323
382,343
359,354
334,361
309,366
283,369
256,187
250,195
248,206
250,218
256,228
255,268
250,283
250,300
255,316
262,331
276,246
291,244
306,241
321,239
331,230
334,235
337,242
335,251
333,260
277,201
272,210
273,221
281,229
282,219
281,208
282,277
274,287
274,299
281,310
284,299
284,288
353,212
349,222
348,234
351,245
349,256
351,275
356,295
374,276
380,256
380,244
378,233
372,222
356,218
358,234
359,245
358,256
357,289
368,256
368,245
367,234
