287,164
311,166
334,169
358,172
380,179
398,195
412,214
423,236
426,261
422,285
412,306
397,325
378,339
355,345
332,349
307,352
284,353
256,181
247,194
245,211
248,228
253,244
252,276
244,292
240,308
241,325
249,338
271,261
283,261
295,262
307,262
326,247
327,255
327,262
326,269
325,275
278,199
270,210
269,224
279,236
282,223
283,209
278,284
267,296
266,310
274,320
279,311
280,298
364,224
351,238
344,253
346,262
344,271
350,285
363,297
377,285
382,272
383,261
382,251
378,237
364,231
355,252
355,262
355,271
363,290
368,271
369,261
368,252
