287,164
310,166
332,169
355,172
377,178
396,189
411,204
423,222
427,244
424,268
414,292
399,313
381,329
358,338
334,343
309,348
284,351
255,169
246,180
245,195
248,210
254,225
252,258
244,275
240,292
241,309
249,325
272,241
283,240
295,239
307,238
326,228
327,234
327,241
326,248
325,255
278,186
270,196
270,209
280,220
282,208
283,195
278,270
267,281
266,295
274,306
280,296
280,282
363,209
351,219
344,232
346,241
344,251
349,266
362,282
376,267
382,252
383,241
382,231
377,218
364,215
354,232
354,242
354,252
362,274
368,251
369,241
368,232
