288,146
313,148
338,150
364,155
388,167
407,183
425,202
438,225
441,249
435,270
417,284
396,296
374,306
350,313
327,318
304,320
281,318
265,167
255,179
252,195
252,212
257,229
254,261
248,274
245,288
246,302
254,312
276,246
290,248
305,250
320,251
332,232
334,241
336,251
333,259
331,265
281,186
272,197
272,209
283,219
283,208
283,196
280,266
268,276
266,288
274,298
278,290
279,278
363,201
353,218
350,238
351,250
349,260
351,275
361,286
389,276
401,261
403,249
402,236
391,216
364,206
356,238
357,250
356,260
363,280
388,260
390,249
390,237
