285,150
313,152
341,156
369,161
393,174
412,193
428,215
439,241
440,265
434,284
415,297
392,307
371,316
348,324
325,329
303,331
281,329
266,184
256,198
252,216
252,235
257,252
254,283
248,295
245,307
246,319
254,327
276,269
290,272
304,275
319,277
332,254
334,264
336,273
334,280
331,286
280,205
272,217
272,229
282,239
283,228
283,216
280,284
268,294
266,305
274,314
277,307
279,296
361,216
354,237
351,258
353,269
351,279
352,292
358,301
384,292
396,279
398,267
397,256
388,234
363,221
357,258
358,269
356,279
360,295
384,278
387,268
387,256
