285,165
310,167
333,170
358,174
381,183
401,196
419,212
434,231
439,254
436,277
423,298
405,316
385,330
361,339
336,344
312,347
287,350
256,179
247,190
244,206
246,222
253,237
255,281
247,296
246,313
249,329
259,340
275,258
290,257
306,257
321,257
330,240
333,248
336,257
333,266
331,275
277,200
271,210
272,222
280,232
281,221
281,209
280,284
272,294
272,307
279,317
283,308
283,295
360,214
352,229
349,245
352,257
349,269
352,286
359,301
381,288
391,271
392,257
391,244
381,227
361,220
359,245
360,257
359,269
361,295
378,270
379,257
378,245
