281,160
306,161
330,163
355,166
378,174
397,189
413,208
424,229
429,252
426,276
417,299
402,318
384,333
361,343
337,348
313,353
288,358
255,178
246,190
244,205
247,221
253,236
253,274
248,292
246,310
251,326
263,337
274,256
287,255
301,255
314,254
328,238
329,246
332,254
330,263
329,271
277,198
272,209
272,221
280,232
282,220
281,208
282,282
275,293
275,305
281,315
284,305
284,293
358,214
350,228
347,245
349,255
348,266
352,282
360,297
380,282
387,266
388,254
386,243
378,227
359,219
356,244
358,255
357,266
361,292
375,266
376,254
374,244
